model,scenario,temp_condition,n_windows,params,mae_pct,rmse_pct,maxe_pct,pvr_discharge_eps0,pvr_charge_eps0,pvr_rest_eps0,pvr_total_eps0,pvr_discharge_eps0.0005,pvr_discharge_eps0.001,pvr_discharge_eps0.0025,pvr_discharge_eps0.005,pvr_discharge_eps0.01,delta_soc_mae,pred_true_delta_ratio_discharge
null_ocv_coulomb[ocv25_qnom],scenario_B,ALL,8010,0,4.9554,7.5572,94.7291,0.0,0.0,2.5917,1.0993,0.0,0.0,0.0,0.0,0.0,3.207e-05,0.9022
null_ocv_coulomb[ocv25_qnom],scenario_B,0degC,1395,0,4.0974,6.3006,90.0805,0.0,0.0,2.958,1.2281,0.0,0.0,0.0,0.0,0.0,4.023e-05,0.9093
null_ocv_coulomb[ocv25_qnom],scenario_B,10degC,1520,0,2.9052,5.23,94.7291,0.0,0.0,3.2528,1.137,0.0,0.0,0.0,0.0,0.0,2.671e-05,0.8906
null_ocv_coulomb[ocv25_qnom],scenario_B,25degC,1712,0,3.6518,5.3044,93.0145,0.0,0.0,2.8998,1.0608,0.0,0.0,0.0,0.0,0.0,3.411e-05,0.9426
null_ocv_coulomb[ocv25_qnom],scenario_B,40degC,1079,0,2.6129,3.5322,14.3674,0.0,0.0,2.9809,1.129,0.0,0.0,0.0,0.0,0.0,3.559e-05,0.9729
null_ocv_coulomb[ocv25_qnom],scenario_B,n10degC,1342,0,7.6964,10.0379,84.705,0.0,0.0,2.4493,1.1659,0.0,0.0,0.0,0.0,0.0,3.184e-05,0.8401
null_ocv_coulomb[ocv25_qnom],scenario_B,n20degC,962,0,10.5626,13.0431,33.8144,0.0,0.0,1.2471,0.7949,0.0,0.0,0.0,0.0,0.0,2.144e-05,0.7928
null_ocv_coulomb[ocv25_qtemp],scenario_B,ALL,8010,0,4.9914,7.6009,94.6942,0.0,0.0,2.5917,1.0993,0.0,0.0,0.0,0.0,0.0,2.845e-05,1.0303
null_ocv_coulomb[ocv25_qtemp],scenario_B,0degC,1395,0,4.1339,6.3475,90.0488,0.0,0.0,2.958,1.2281,0.0,0.0,0.0,0.0,0.0,3.712e-05,1.0556
null_ocv_coulomb[ocv25_qtemp],scenario_B,10degC,1520,0,2.9328,5.2587,94.6942,0.0,0.0,3.2528,1.137,0.0,0.0,0.0,0.0,0.0,1.869e-05,1.0226
null_ocv_coulomb[ocv25_qtemp],scenario_B,25degC,1712,0,3.6854,5.3324,92.9858,0.0,0.0,2.8998,1.0608,0.0,0.0,0.0,0.0,0.0,3.420e-05,1.0179
null_ocv_coulomb[ocv25_qtemp],scenario_B,40degC,1079,0,2.6338,3.5482,14.3293,0.0,0.0,2.9809,1.129,0.0,0.0,0.0,0.0,0.0,3.507e-05,1.0725
null_ocv_coulomb[ocv25_qtemp],scenario_B,n10degC,1342,0,7.7427,10.0937,84.705,0.0,0.0,2.4493,1.1659,0.0,0.0,0.0,0.0,0.0,2.720e-05,1.0006
null_ocv_coulomb[ocv25_qtemp],scenario_B,n20degC,962,0,10.6182,13.1179,33.9073,0.0,0.0,1.2471,0.7949,0.0,0.0,0.0,0.0,0.0,1.540e-05,1.0192
